numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,0.69,-0.03,0.83,-3.87,2.23,0.43
2,0.69,-0.03,0.83,-3.49,1.97,0.38
3,0.69,-0.03,0.83,-3.75,2.31,0.48
4,0.69,-0.03,0.83,-3.56,2.02,0.10
5,0.70,-0.02,0.83,-3.77,1.91,0.37
6,0.69,-0.03,0.84,-3.65,2.20,0.19
7,0.69,-0.03,0.83,-4.02,2.36,0.41
8,0.69,-0.03,0.83,-3.63,2.29,0.49
9,0.69,-0.03,0.84,-3.50,2.11,0.22
10,0.69,-0.03,0.83,-3.56,2.09,0.43
11,0.69,-0.02,0.83,-3.53,2.22,0.15
12,0.69,-0.03,0.84,-3.47,1.97,0.34
13,0.69,-0.03,0.83,-3.64,2.36,0.38
14,0.69,-0.02,0.83,-3.55,1.93,0.53
15,0.69,-0.03,0.83,-3.53,2.27,0.49
16,0.69,-0.02,0.83,-3.79,2.40,0.39
17,0.69,-0.03,0.83,-3.61,2.39,0.37
18,0.69,-0.03,0.84,-3.84,2.28,0.47
19,0.69,-0.02,0.83,-3.58,2.22,0.38
20,0.69,-0.03,0.83,-3.61,1.85,0.46
21,0.69,-0.02,0.83,-3.73,1.93,0.30
22,0.69,-0.03,0.83,-3.34,2.18,0.50
23,0.69,-0.03,0.83,-3.54,2.21,0.54
24,0.69,-0.03,0.83,-3.41,2.08,0.30
25,0.69,-0.03,0.83,-3.63,2.32,0.05
26,0.69,-0.03,0.82,-3.76,2.09,0.58
27,0.69,-0.03,0.83,-3.88,2.44,0.28
28,0.69,-0.03,0.83,-3.76,2.06,0.50
29,0.69,-0.03,0.83,-3.80,2.21,0.32
30,0.69,-0.03,0.83,-3.86,2.34,0.43
31,0.69,-0.02,0.83,-3.60,2.19,0.57
32,0.69,-0.03,0.83,-3.56,1.85,0.34
33,0.69,-0.03,0.83,-3.66,2.02,0.58
34,0.69,-0.03,0.83,-3.78,2.00,0.19
35,0.69,-0.03,0.83,-3.75,2.32,0.09
36,0.69,-0.03,0.84,-3.49,2.05,0.40
37,0.69,-0.03,0.83,-3.67,2.44,0.31
38,0.69,-0.03,0.83,-3.69,2.25,0.52
39,0.69,-0.02,0.83,-3.73,2.09,0.50
40,0.69,-0.03,0.84,-3.32,1.98,0.34
41,0.70,-0.03,0.84,-3.70,2.18,0.36
42,0.69,-0.03,0.84,-3.60,2.34,0.53
43,0.69,-0.03,0.83,-3.33,1.91,0.34
44,0.69,-0.03,0.83,-3.75,2.08,0.26
45,0.69,-0.03,0.84,-3.54,2.47,0.49
46,0.69,-0.03,0.83,-3.82,2.27,0.54
47,0.69,-0.03,0.84,-3.83,1.85,0.44
48,0.69,-0.03,0.83,-3.82,1.95,0.43
49,0.69,-0.03,0.83,-3.59,1.92,0.21
50,0.69,-0.03,0.84,-3.62,2.11,0.27
51,0.70,-0.03,0.83,-3.56,2.35,0.14
52,0.69,-0.03,0.83,-3.69,2.21,0.23
53,0.69,-0.03,0.83,-3.66,2.46,0.61
54,0.69,-0.03,0.83,-3.71,2.22,0.80
55,0.69,-0.03,0.84,-3.56,1.90,0.39
56,0.69,-0.03,0.84,-3.53,2.02,0.20
57,0.69,-0.03,0.83,-3.82,2.31,0.31
58,0.69,-0.03,0.83,-3.67,2.27,0.25
59,0.69,-0.03,0.84,-3.66,2.16,0.32
60,0.69,-0.03,0.83,-3.61,2.14,0.15
61,0.69,-0.02,0.83,-3.60,1.97,0.46
62,0.69,-0.03,0.83,-3.66,2.14,0.40
63,0.69,-0.03,0.84,-3.68,2.24,0.35
64,0.69,-0.02,0.84,-3.37,2.22,0.41
65,0.69,-0.03,0.84,-3.75,2.31,0.30
66,0.69,-0.03,0.83,-3.56,2.00,0.60
67,0.69,-0.03,0.83,-3.68,2.19,0.50
68,0.70,-0.03,0.83,-3.53,2.11,0.27
69,0.69,-0.03,0.83,-3.76,2.03,0.25
70,0.69,-0.02,0.83,-3.64,1.63,0.56
71,0.69,-0.03,0.83,-3.55,2.06,0.18
72,0.69,-0.03,0.83,-3.60,2.16,0.56
73,0.69,-0.03,0.83,-3.80,2.39,0.32
74,0.69,-0.03,0.83,-3.71,1.72,0.37
75,0.69,-0.03,0.84,-3.60,2.23,0.38
76,0.69,-0.03,0.83,-3.84,1.74,0.37
77,0.69,-0.03,0.83,-3.73,2.09,0.27
78,0.69,-0.03,0.84,-3.73,1.44,0.49
79,0.69,-0.03,0.84,-3.88,1.97,0.39
80,0.69,-0.03,0.84,-3.54,2.38,0.36
81,0.69,-0.03,0.84,-3.53,2.05,0.43
82,0.69,-0.03,0.84,-3.68,2.15,0.21
83,0.69,-0.03,0.83,-3.60,2.18,0.40
84,0.69,-0.03,0.83,-3.70,2.29,0.68
85,0.69,-0.02,0.84,-3.63,1.78,0.57
86,0.69,-0.03,0.83,-3.79,2.35,0.20
87,0.69,-0.03,0.83,-3.72,2.13,0.56
88,0.69,-0.03,0.83,-3.69,2.61,0.59
89,0.69,-0.03,0.83,-3.68,2.11,0.45
90,0.69,-0.03,0.84,-3.62,1.82,0.18
91,0.69,-0.03,0.83,-3.60,2.09,0.41
